,FLIGHT_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,UNIQUE_CARRIER,ORIGIN,DEST,Capacity
13,13,360,570,210,AS,ANC,SEA,124
32,32,360,529,169,AS,LAX,SEA,124
46,46,360,590,230,AS,SEA,ANC,72
33,33,390,559,169,AS,LAX,SEA,144
14,14,390,600,210,AS,ANC,SEA,72
12,12,390,715,325,AS,ANC,LAX,72
25,25,390,540,150,AS,LAX,PDX,124
3,3,390,525,135,AS,PDX,LAX,124
58,58,390,541,151,AS,SEA,LAX,144
47,47,390,620,230,AS,SEA,ANC,124
34,34,420,589,169,AS,LAX,SEA,160
48,48,420,650,230,AS,SEA,ANC,144
59,59,420,571,151,AS,SEA,LAX,160
15,15,420,630,210,AS,ANC,SEA,160
26,26,450,600,150,AS,LAX,PDX,144
49,49,450,680,230,AS,SEA,ANC,180
35,35,450,619,169,AS,LAX,SEA,144
60,60,450,601,151,AS,SEA,LAX,160
4,4,450,585,135,AS,PDX,LAX,160
16,16,450,660,210,AS,ANC,SEA,180
27,27,480,630,150,AS,LAX,PDX,160
5,5,480,615,135,AS,PDX,LAX,144
17,17,480,690,210,AS,ANC,SEA,144
36,36,480,649,169,AS,LAX,SEA,160
61,61,480,631,151,AS,SEA,LAX,160
50,50,480,710,230,AS,SEA,ANC,160
51,51,510,740,230,AS,SEA,ANC,160
37,37,510,679,169,AS,LAX,SEA,144
62,62,510,661,151,AS,SEA,LAX,144
18,18,510,720,210,AS,ANC,SEA,72
52,52,540,770,230,AS,SEA,ANC,124
63,63,540,691,151,AS,SEA,LAX,144
38,38,540,709,169,AS,LAX,SEA,160
19,19,540,750,210,AS,ANC,SEA,160
6,6,570,705,135,AS,PDX,LAX,124
39,39,570,739,169,AS,LAX,SEA,124
28,28,570,720,150,AS,LAX,PDX,124
64,64,600,751,151,AS,SEA,LAX,124
53,53,630,860,230,AS,SEA,ANC,124
10,10,660,875,215,AS,ANC,PDX,124
45,45,810,855,45,AS,SEA,PDX,180
20,20,900,1110,210,AS,ANC,SEA,124
7,7,960,1095,135,AS,PDX,LAX,124
40,40,990,1159,169,AS,LAX,SEA,72
21,21,990,1200,210,AS,ANC,SEA,72
54,54,990,1220,230,AS,SEA,ANC,72
11,11,990,1205,215,AS,ANC,PDX,72
8,8,1020,1155,135,AS,PDX,LAX,124
22,22,1020,1230,210,AS,ANC,SEA,72
65,65,1020,1171,151,AS,SEA,LAX,72
41,41,1050,1219,169,AS,LAX,SEA,72
66,66,1050,1201,151,AS,SEA,LAX,72
29,29,1050,1200,150,AS,LAX,PDX,124
67,67,1080,1231,151,AS,SEA,LAX,124
42,42,1080,1249,169,AS,LAX,SEA,124
9,9,1080,1125,45,AS,PDX,SEA,180
43,43,1140,1309,169,AS,LAX,SEA,124
31,31,1170,1520,350,AS,LAX,ANC,72
55,55,1170,1400,230,AS,SEA,ANC,72
68,68,1170,1321,151,AS,SEA,LAX,124
1,1,1200,1439,239,AS,PDX,ANC,72
56,56,1200,1430,230,AS,SEA,ANC,72
23,23,1200,1410,210,AS,ANC,SEA,72
44,44,1230,1399,169,AS,LAX,SEA,72
69,69,1230,1381,151,AS,SEA,LAX,72
30,30,1260,1410,150,AS,LAX,PDX,72
24,24,1260,1470,210,AS,ANC,SEA,72
2,2,1260,1499,239,AS,PDX,ANC,72
57,57,1260,1490,230,AS,SEA,ANC,72
70,70,1260,1411,151,AS,SEA,LAX,72
