Iteration,gap,profit,cost,player_1_pax,player_1_equi,player_2_equi,profit_stage2
0,70.80%,1205361.4,624552.8,5672.2,1691997.7,1051111.6,998055.6614
1,76.40%,960655.2,623873.1,5687,1698874.5,1044749.3,1005439.554
2,77.80%,951929,628977.3,5679.2,1692818,1050680.3,1003551.155
3,76.20%,958482.3,621743.4,5668.2,1696643.2,1048657.6,1000116.31
4,74.70%,964537.1,624815.5,5687.6,1695286.1,1044659.5,1018687.03
5,77.00%,951739.4,625419.9,5663.5,1693095.3,1051618.7,1005448.096
6,76.90%,963294.8,628132.3,5681.3,1698049.6,1044893.1,1026423.46
7,79.40%,950539.1,630441.8,5667.9,1695476.1,1051877.4,978268.567
8,81.00%,944906.2,646836.5,5706.8,1748988.5,1083696.5,1132595.829
9,79.20%,1003691.8,652242.7,5701.4,1715977.3,1053709.9,1031574.791
