,gap,profit,cost,player_1_pax,player_1_equi,player_2_equi,,,,,,
0,70.80%,1205361.357,624552.8304,5672.19364,1691997.661,1051111.635,1067444.831,,,,,
1,76.40%,960655.2011,623873.056,5686.991141,1698874.45,1044749.322,1075001.394,,,,1764597.13,1174990.3
2,77.80%,951928.9911,628977.3376,5679.169885,1692817.976,1050680.297,1063840.639,,,,,
3,76.20%,958482.2584,621743.4144,5668.224539,1696643.236,1048657.628,1074899.822,,,,,
4,74.70%,964537.1193,624815.4864,5687.599026,1695286.093,1044659.45,1070470.607,,,,,
5,77.00%,951739.407,625419.8992,5663.549575,1693095.327,1051618.7,1067675.428,,,,,
6,76.90%,963294.8107,628132.3392,5681.269473,1698049.576,1044893.128,1069917.236,,,,,
7,79.40%,950539.1011,630441.7968,5667.867135,1695476.147,1051877.356,1065034.35,,,,,
8,81.00%,944906.2111,646836.5168,5706.800286,1748988.5,1083696.473,1102151.984,,,,,
9,79.20%,1003691.79,652242.7008,5701.355208,1715977.273,1053709.913,1063734.572,,,,,
