Dept No,Dept,Arrive No,Arrive,actualdemand,Nonstop_Miles,avg_price,Demand,frequency,travel_time
15,ANC,26,SEA,1538,1448,279,366,12,210
15,ANC,20,LAX,157,2345,221,136,1,325
15,ANC,9,PDX,267,1542,271,124,2,215
20,LAX,9,PDX,1178,834,182,951,6,150
20,LAX,26,SEA,2206,954,193,1713,13,169
20,LAX,15,ANC,177,2345,231,139,1,350
9,PDX,20,LAX,1188,834,177,947,6,135
9,PDX,26,SEA,1486,129,121,380,1,45
9,PDX,15,ANC,261,1542,276,123,2,239
26,SEA,20,LAX,2153,954,182,1707,13,151
26,SEA,9,PDX,1577,129,122,398,1,45
26,SEA,15,ANC,1669,1448,287,381,12,230
